id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYPyG0FD,mashhad,peugeot20602,1399,white,45000,intact,healthy,intact,intact,6,manual,323000000
wYSmuNwR,mashhad,peugeot20602,1385,silver,397000,colored,healthy,impact,intact,12,manual,130000000
wYSu-4j0,mashhad,peugeot20602,1391,white,130000,intact,healthy,intact,intact,6,,245000000
wYSqulCg,mashhad,peugeot20602,1400,white,45000,intact,healthy,intact,intact,6,manual,340000000
wYQO3wxS,mashhad,peugeot20602,1388,silver,163000,colored,healthy,intact,intact,6,manual,179000000
wYIK1shv,mashhad,peugeot20602,1400,white,14,intact,healthy,intact,intact,4,manual,350000000
wYSOOpfC,mashhad,peugeot20602,1384,silver,500000,whole_colored,healthy,,,7,manual,110000000
wYAO7g1C,mashhad,peugeot20602,1397,black,74000,minor_scratch,healthy,intact,intact,3,manual,258000000
wYSOOcFM,mashhad,peugeot20602,1381,black,490000,colored,healthy,intact,intact,12,manual,122000000
wYSC-9Hy,mashhad,peugeot20602,1385,silver,321001,colored,healthy,intact,intact,6,manual,152000000
wYS-9Zm6,mashhad,peugeot20602,1400,white,64000,intact,healthy,intact,intact,12,manual,345000000
wYSStbIZ,mashhad,peugeot20602,1382,silver,200000,minor_scratch,healthy,intact,intact,,,130000000
wYNKYzqq,mashhad,peugeot20602,1399,white,20000,intact,healthy,intact,intact,7,manual,340000000
wYPmza9w,mashhad,peugeot20602,1397,ashgray,83000,intact,healthy,intact,intact,6,manual,293500000
wYSuMTeV,mashhad,peugeot20602,1383,dimgray,345000,minor_scratch,healthy,intact,intact,10,manual,117000000
wYSS8g0U,mashhad,peugeot20602,1399,white,54000,intact,healthy,intact,intact,6,manual,327000000
wYSmLuXG,mashhad,peugeot20602,1401,seashell,4000,intact,healthy,intact,intact,10,manual,375000000
wYS6Hx7i,mashhad,peugeot20602,1385,ashgray,190000,minor_scratch,healthy,intact,intact,8,manual,170000000
wYSKHpC9,mashhad,peugeot20602,1397,black,70000,intact,healthy,intact,intact,7,manual,295000000
wYSe2QSe,mashhad,peugeot20602,1387,ashgray,208000,intact,healthy,intact,intact,8,manual,188000000
wYSC2eab,mashhad,peugeot20602,1389,white,217000,minor_scratch,healthy,intact,intact,11,manual,195000000
wYSyEj6z,mashhad,peugeot20602,1397,white,78000,minor_scratch,healthy,intact,intact,5,manual,258000000
wYSqEaKV,mashhad,peugeot20602,1398,white,63000,minor_scratch,healthy,intact,intact,2,manual,300000000
wYSK0NSb,mashhad,peugeot20602,1384,silver,300000,intact,healthy,intact,intact,8,manual,142000000
