id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYyeK_kY,tehran,peugeot20605,1397,blue,45000,intact,healthy,intact,intact,10,manual,438000000
wYvq9WG5,tehran,peugeot20605,1398,ashgray,27000,intact,n/a,intact,intact,n/a,n/a,465000000
wYyWaV0b,tehran,peugeot20605,1395,white,194000,colored,healthy,intact,intact,6,manual,345000000
wYvyTY0M,tehran,peugeot20605,1385,silver,190000,colored,healthy,intact,intact,9,manual,275000000
wYgKwDU5,tehran,peugeot20605,1398,ashgray,67000,intact,healthy,intact,intact,6,manual,446000000
wYyGKqUD,tehran,peugeot20605,1395,white,85000,minor_scratch,healthy,n/a,n/a,6,n/a,330000000
wYyG6F01,tehran,peugeot20605,1397,black,70000,colored,healthy,impact,intact,8,manual,360000000
wYyCKupf,tehran,peugeot20605,1398,white,0,intact,healthy,intact,intact,12,manual,480000000
wYnqCurE,tehran,peugeot20605,1397,white,127000,colored,healthy,intact,intact,6,manual,355000000
wYy6JadT,tehran,peugeot20605,1395,black,50000,intact,healthy,intact,intact,6,manual,390000000
wYzqD7Qi,mashhad,peugeot20602,1386,ashgray,250000,minor_scratch,healthy,intact,intact,2,manual,200000000
wYz-zcRM,mashhad,peugeot20602,1385,ashgray,400000,whole_colored,healthy,intact,intact,n/a,n/a,159500000
wYzWDTK7,mashhad,peugeot20602,1382,black,440000,minor_scratch,healthy,intact,intact,7,n/a,132000000
wYzKDylI,mashhad,peugeot20602,1396,white,75000,colored,healthy,intact,intact,10,manual,308000000
wYzSyGPH,mashhad,peugeot20602,1395,white,73000,minor_scratch,healthy,intact,intact,6,manual,322000000
wYzCyHk_,mashhad,peugeot20602,1390,white,170000,colored,healthy,intact,intact,7,manual,250000000
wYzGDCPw,mashhad,peugeot20602,1386,white,370000,round_colored,healthy,intact,intact,7,manual,190000000
wYz-iSc6,mashhad,peugeot20602,1398,white,30000,intact,healthy,intact,intact,3,manual,403000000
wYz2ybnm,mashhad,peugeot20602,1394,ashgray,76000,intact,healthy,intact,intact,9,manual,333000000
wYzOy04I,mashhad,peugeot20602,1389,white,215000,round_colored,healthy,intact,intact,7,manual,210000000
wYzqypbL,mashhad,peugeot20602,1395,white,105000,intact,healthy,intact,intact,6,manual,345000000
wYzeC72_,mashhad,peugeot20602,1396,white,122000,minor_scratch,healthy,intact,intact,10,manual,360000000
wYzOSITP,mashhad,peugeot20602,1389,white,275000,intact,healthy,intact,intact,4,manual,193000000
